stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1743,1743,WBD Michigan past Hosmer St,E MICHIGAN AVE & N HOSMER ST,42.73363,-84.54162,,,,,,0
1744,1744,WBD Michigan past Larch St,E MICHIGAN AVE & LARCH STREET,42.73367,-84.54506,,,,,,0
1745,1745,WBD Michigan at Museum Drive,E MICHIGAN AVE & MUSEUM ACCESS RAMP,42.733693,-84.548496,,,,,,0
1746,1746,SBD Washington past Hazel St,S WASHINGTON AVE & W ELM ST,42.723099,-84.552434,,,,,,0
1748,1748,SBD Washington past South St,S WASHINGTON AVE & E SOUTH ST,42.719905,-84.552424,,,,,,0
1749,1749,SBD Washington before Baker St,S WASHINGTON AVE & ISLAND AVE,42.717444,-84.552437,,,,,,0
1750,1750,SBD Washington past Barnes Ave,S WASHINGTON AVE,42.714787,-84.552427,,,,,,0
1751,1751,SBD Washington past Mt Hope Av,S WASHINGTON AVE & Mt Hope,42.711333,-84.553117,,,,,,0
1752,1752,SBD Washington past Strathmore R,S WASHINGTON AVE & STRATHMORE RD,42.709016,-84.554997,,,,,,0
1753,1753,SBD Washington past Wayburn Rd,S WASHINGTON AVE & WAYBURN RD,42.706941,-84.556754,,,,,,0
1754,1754,SBD Washington past Greenlawn Av,S WASHINGTON AVE & WILLARD ST,42.705008,-84.558315,,,,,,0
1755,1755,SBD Washington before Dunlap St,S WASHINGTON AVE & DUNLAP ST,42.702888,-84.560096,,,,,,0
1756,1756,SBD Washington past Hodge Ave,S WASHINGTON AVE & W HODGE AVE,42.70024,-84.562271,,,,,,0
1757,1757,SBD Washington past Berry Ave,S WASHINGTON AVE & W HOLMES RD,42.698236,-84.563905,,,,,,0
1758,1758,WBD Holmes past Washington Ave,W HOLMES RD & S WASHINGTON AVE,42.697593,-84.565096,,,,,,0
1760,1760,WBD Holmes past MLK,W HOLMES RD & S MARTIN LUTHER KING JR BLVD,42.697593,-84.567859,,,,,,0
1761,1761,WBD Holmes Rd before Simken Dr,W HOLMES RD & EXPRESS CT,42.697622,-84.579302,,,,,,0
1763,1763,SBD Pleasant Grove past Holmes Rd,PLEASANT GROVE RD & W HOLMES RD,42.696942,-84.58231,,,,,,0
1764,1764,SBD Pleasant Grove before Wadsworth,PLEASANT GROVE RD & HILLCREST ST,42.693327,-84.582372,,,,,,0
1765,1765,SBD Pleasant Grove before Mary,PLEASANT GROVE RD & MARY AVE,42.691529,-84.582397,,,,,,0
1766,1766,SBD Pleasant Grove past Risdale St,PLEASANT GROVE RD & RISDALE AVE,42.689256,-84.582409,,,,,,0
1768,1768,WBD Reo before Sidney St,REO RD & RICHMOND ST,42.686751,-84.583674,,,,,,0
1769,1769,WBD Reo past Ingham St,REO RD & INGHAM ST,42.686787,-84.58937,,,,,,0
1770,1770,WBD Reo Rd at Wainwright Ave,REO RD & WAINWRIGHT AVE,42.686787,-84.592771,,,,,,0
1772,1772,NBD Stillwell past Jerree St,STILLWELL AVE & REO RD,42.688622,-84.59638,,,,,,0
1773,1773,WBD Sumpter before Anson,SUMPTER ST & ANSON ST,42.689302,-84.599056,,,,,,0
1774,1774,WBD Sumpter before Waverly,SUMPTER ST & S WAVERLY RD,42.689302,-84.601769,,,,,,0
1776,1776,WBD Sheffield Blvd past Waverly Rd,SHEFFIELD BLVD & S WAVERLY RD,42.694133,-84.603513,,,,,,0
