route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
01,1,3026903,1 MERIDIAN MALL,,0,395540,42894,0,0
01,1,3026904,1 MERIDIAN MALL,,0,395541,42894,0,0
01,1,3026905,1 MERIDIAN MALL,,0,395542,42894,0,0
01,1,3026906,1 MERIDIAN MALL,,0,395537,42894,0,0
01,1,3026907,1 MERIDIAN MALL,,0,395543,42894,0,0
01,1,3026908,1 MERIDIAN MALL,,0,395538,42894,0,0
01,1,3026909,1 MERIDIAN MALL,,0,395539,42894,0,0
01,1,3026910,1 MERIDIAN MALL,,0,395540,42894,0,0
01,1,3026931,1 MERIDIAN MALL,,0,395545,42894,0,0
01,1,3026932,1 MERIDIAN MALL,,0,395542,42894,0,0
01,1,3026933,1 MERIDIAN MALL,,0,395537,42894,0,0
01,1,3026934,1 MERIDIAN MALL,,0,395543,42894,0,0
01,1,3026935,1 MERIDIAN MALL,,0,395538,42894,0,0
01,1,3026936,1 MERIDIAN MALL,,0,395539,42894,0,0
01,1,3026937,1 MERIDIAN MALL,,0,395541,42894,0,0
01,1,3026938,1 MERIDIAN MALL,,0,395540,42894,0,0
01,1,3026939,1 MERIDIAN MALL,,0,395545,42894,0,0
01,1,3026940,1 MERIDIAN MALL,,0,395542,42894,0,0
01,1,3026941,1 MERIDIAN MALL,,0,395537,42894,0,0
01,1,3026942,1 MERIDIAN MALL,,0,395543,42894,0,0
01,1,3026943,1 MERIDIAN MALL,,0,395538,42894,0,0
01,1,3026944,1 MERIDIAN MALL,,0,395539,42894,0,0
01,1,3026945,1 MERIDIAN MALL,,0,395541,42894,0,0
01,1,3026946,1 MERIDIAN MALL,,0,395540,42894,0,0
01,1,3026947,1 MERIDIAN MALL,,0,395545,42894,0,0
01,1,3026911,1 MERIDIAN MALL,,0,395542,42894,0,0
01,1,3026912,1 MERIDIAN MALL,,0,395537,42894,0,0
01,1,3026913,1 MERIDIAN MALL,,0,395543,42894,0,0
01,1,3026948,1 MERIDIAN MALL,,0,395546,42894,0,0
01,1,3026949,1 MERIDIAN MALL,,0,395538,42894,0,0
01,1,3026950,1 MERIDIAN MALL,,0,395539,42894,0,0
01,1,3026951,1 MERIDIAN MALL,,0,395541,42894,0,0
01,1,3026952,1 MERIDIAN MALL,,0,395540,42894,0,0
01,1,3026953,1 MERIDIAN MALL,,0,395547,42894,0,0
01,1,3026954,1 MERIDIAN MALL,,0,395545,42894,0,0
01,1,3026955,1 MERIDIAN MALL,,0,395542,42894,0,0
01,1,3026956,1 MERIDIAN MALL,,0,395544,42894,0,0
01,1,3026957,1 MERIDIAN MALL,,0,395537,42894,0,0
01,1,3026958,1 MERIDIAN MALL,,0,395543,42894,0,0
01,1,3026959,1 MERIDIAN MALL,,0,395546,42894,0,0
01,1,3026960,1 MERIDIAN MALL,,0,395538,42894,0,0
01,1,3026961,1 MERIDIAN MALL,,0,395539,42894,0,0
01,1,3026962,1 MERIDIAN MALL,,0,395541,42894,0,0
01,1,3026963,1 MERIDIAN MALL,,0,395540,42894,0,0
01,1,3026964,1 MERIDIAN MALL,,0,395547,42894,0,0
01,1,3026965,1 MERIDIAN MALL,,0,395545,42894,0,0
01,1,3026966,1 MERIDIAN MALL,,0,395542,42894,0,0
01,1,3026967,1 MERIDIAN MALL,,0,395544,42894,0,0
01,1,3026968,1 MERIDIAN MALL,,0,395537,42894,0,0
01,1,3026969,1 MERIDIAN MALL,,0,395543,42894,0,0
01,1,3026970,1 MERIDIAN MALL,,0,395546,42894,0,0
01,1,3026971,1 MERIDIAN MALL,,0,395538,42894,0,0
01,1,3026972,1 MERIDIAN MALL,,0,395539,42894,0,0
01,1,3026973,1 MERIDIAN MALL,,0,395541,42894,0,0
01,1,3026974,1 MERIDIAN MALL,,0,395540,42894,0,0
01,1,3026975,1 MERIDIAN MALL,,0,395547,42894,0,0
01,1,3026976,1 MERIDIAN MALL,,0,395545,42894,0,0
01,1,3026977,1 MERIDIAN MALL,,0,395542,42894,0,0
01,1,3026978,1 MERIDIAN MALL,,0,395544,42894,0,0
01,1,3026979,1 MERIDIAN MALL,,0,395537,42894,0,0
01,1,3026980,1 MERIDIAN MALL,,0,395543,42894,0,0
01,1,3026981,1 MERIDIAN MALL,,0,395546,42894,0,0
01,1,3026982,1 MERIDIAN MALL,,0,395538,42894,0,0
01,1,3026983,1 MERIDIAN MALL,,0,395539,42894,0,0
01,1,3026984,1 MERIDIAN MALL,,0,395541,42894,0,0
01,1,3026985,1 MERIDIAN MALL,,0,395540,42894,0,0
01,1,3026986,1 MERIDIAN MALL,,0,395547,42894,0,0
01,1,3026987,1 MERIDIAN MALL,,0,395545,42894,0,0
01,1,3026927,1 MERIDIAN MALL,,0,395542,42894,0,0
01,1,3026928,1 MERIDIAN MALL,,0,395544,42894,0,0
01,1,3026929,1 MERIDIAN MALL,,0,395537,42894,0,0
01,1,3026930,1 MERIDIAN MALL,,0,395543,42894,0,0
01,1,3026914,1 MERIDIAN MALL,,0,395538,42894,0,0
01,1,3026915,1 MERIDIAN MALL,,0,395539,42894,0,0
01,1,3026916,1 MERIDIAN MALL,,0,395540,42894,0,0
01,1,3026917,1 MERIDIAN MALL,,0,395542,42894,0,0
01,1,3026918,1 MERIDIAN MALL,,0,395537,42894,0,0
